"","GSM95424","GSM95425","GSM95444","GSM95324","GSM95421","GSM95423","GSM95325","GSM95420","GSM95422","GSM95290","GSM95292","GSM95293","GSM95262","GSM95263","GSM95291","GSM95112","GSM95114","GSM95242","GSM95237","GSM95239","GSM95256","GSM95236","GSM95259","GSM95295","GSM95194","GSM95296","GSM95323","GSM95260","GSM95261","GSM95294"
"141200_at",3.77628,3.44458,3.76067,3.38473,3.57696,3.7131,3.59374,3.68243,3.71822,3.95261,3.67817,3.57283,3.59273,3.70173,3.84251,3.56832,3.47294,3.61899,3.65057,3.49014,3.48292,3.47337,3.33723,3.7165,3.59834,3.61366,3.51833,3.49258,3.59201,3.619
"141201_at",5.64283,5.47795,5.5337,5.58603,5.60629,5.57885,5.6038,5.40856,5.53217,5.55998,5.37299,5.60045,5.54066,5.54693,5.53791,5.35057,5.36798,5.45633,5.42917,5.36852,5.48704,5.50797,5.60756,5.45302,5.43918,5.4653,5.39093,5.31444,5.38658,5.52682
"141202_at",6.80354,7.01271,6.81637,6.66803,6.73312,6.96012,6.55975,6.91156,6.53144,7.1988,7.10604,6.9917,7.20713,6.88922,7.1328,6.81038,6.59039,7.10774,7.15448,7.023,6.99686,6.84621,7.1612,7.21648,6.88146,7.23107,7.14023,6.99964,6.99194,6.89965
"141203_at",5.42622,5.53965,5.38007,5.26991,5.18558,5.3628,5.06871,5.31143,5.24742,5.5106,5.55732,4.9244,5.34438,5.31099,5.25818,5.30885,5.00733,5.29198,5.5714,5.2971,5.46427,5.18254,4.89952,5.26514,5.24436,5.30005,5.25522,5.18857,4.87618,4.64422
"141204_at",4.58124,4.55277,4.45829,4.45801,4.56932,4.45476,4.47072,4.60259,4.68283,4.74907,4.73757,4.60691,4.75126,4.63275,4.61199,4.38889,4.42526,4.60187,4.79595,4.71561,4.60023,4.60738,4.66237,4.50229,4.50161,4.61582,4.75641,4.67276,4.70003,4.51917
"141205_at",5.94997,5.94535,5.97233,5.62635,5.79158,5.75519,5.63485,5.84344,5.89039,6.27263,6.38052,5.85537,6.07541,5.99084,6.05975,5.99645,5.70484,6.22243,6.3572,5.99588,6.19795,5.80494,6.08442,5.9371,5.81833,6.20205,6.02565,5.77513,5.9145,5.54886
"141206_at",7.10323,6.90955,6.9438,6.82933,6.97706,7.00155,6.84405,6.88599,7.08814,7.26723,7.30107,7.04612,7.12128,6.91636,7.19411,6.92828,6.77359,7.05528,6.99981,6.93164,7.01813,6.85509,6.90477,7.07699,6.90999,7.07053,6.98945,6.98939,6.90513,6.86361
"141207_at",4.31335,4.38611,4.20917,4.20606,4.22661,4.15154,3.94747,4.36661,4.02184,4.47476,4.85886,4.44182,4.64402,4.41563,4.84036,4.47072,4.43998,4.62824,4.60173,4.4661,4.65171,4.33647,3.66241,4.50527,4.48618,4.55939,4.47822,4.18343,4.46629,4.33264
"141208_at",5.25411,5.2772,5.36327,5.32454,5.40733,5.37987,5.19602,5.41965,5.31896,5.5471,5.67052,5.1546,5.58334,5.39835,5.84041,5.40031,5.17224,5.44395,5.83647,5.45592,5.54313,5.02159,5.48508,5.5288,5.38018,5.47177,5.55008,5.12877,5.47299,5.13968
"141209_at",7.65238,7.51818,7.63492,7.4516,7.53137,7.59254,7.37731,7.42033,7.54474,7.73129,7.42149,7.57755,7.53948,7.42456,7.47577,7.33966,7.40192,7.41678,7.50339,7.45956,7.37638,7.12219,7.30661,7.32624,7.30555,7.51354,7.36444,7.37153,7.31211,7.1698
